No.    Code    Description
--------------------------
1      0x0001  Incorrect function.
2      0x0002  The system cannot find the file specified.
3      0x0003  The system cannot find the path specified.
4      0x0004  The system cannot open the file.
5      0x0005  Access is denied.
6      0x0006  The handle is invalid.
7      0x0007  The storage control blocks were destroyed.
8      0x0008  Not enough memory resources are available to process this command.
9      0x0009  The storage control block address is invalid.
10     0x000A  The environment is incorrect.
11     0x000B  An attempt was made to load a program with an incorrect format.
12     0x000C  The access code is invalid.
13     0x000D  The data is invalid.
14     0x000E  Not enough memory resources are available to complete this operation.
15     0x000F  The system cannot find the drive specified.
16     0x0010  The directory cannot be removed.
17     0x0011  The system cannot move the file to a different disk drive.
18     0x0012  There are no more files.
19     0x0013  The media is write protected.
20     0x0014  The system cannot find the device specified.
21     0x0015  The device is not ready.
22     0x0016  The device does not recognize the command.
23     0x0017  Data error (cyclic redundancy check).
24     0x0018  The program issued a command but the command length is incorrect.
25     0x0019  The drive cannot locate a specific area or track on the disk.
26     0x001A  The specified disk or diskette cannot be accessed.
27     0x001B  The drive cannot find the sector requested.
28     0x001C  The printer is out of paper.
29     0x001D  The system cannot write to the specified device.
30     0x001E  The system cannot read from the specified device.
31     0x001F  A device attached to the system is not functioning.
32     0x0020  The process cannot access the file because it is being used by another process.
33     0x0021  The process cannot access the file because another process has locked a portion of the file.
36     0x0024  Too many files opened for sharing.
38     0x0026  Reached the end of the file.
39     0x0027  The disk is full.
44     0x002C  The path cannot be traversed because it contains an untrusted mount point.
50     0x0032  The request is not supported.
51     0x0033  Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path, contact your network administrator.
52     0x0034  You were not connected because a duplicate name exists on the network. If joining a domain, go to System in Control Panel to change the computer name and try again. If joining a workgroup, choose another workgroup name.
53     0x0035  The network path was not found.
54     0x0036  The network is busy.
55     0x0037  The specified network resource or device is no longer available.
56     0x0038  The network BIOS command limit has been reached.
57     0x0039  A network adapter hardware error occurred.
58     0x003A  The specified server cannot perform the requested operation.
59     0x003B  An unexpected network error occurred.
60     0x003C  The remote adapter is not compatible.
61     0x003D  The printer queue is full.
62     0x003E  Space to store the file waiting to be printed is not available on the server.
63     0x003F  Your file waiting to be printed was deleted.
64     0x0040  The specified network name is no longer available.
65     0x0041  Network access is denied.
66     0x0042  The network resource type is not correct.
67     0x0043  The network name cannot be found.
68     0x0044  The name limit for the local computer network adapter card was exceeded.
69     0x0045  The network BIOS session limit was exceeded.
70     0x0046  The remote server has been paused or is in the process of being started.
71     0x0047  No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept.
72     0x0048  The specified printer or disk device has been paused.
80     0x0050  The file exists.
82     0x0052  The directory or file cannot be created.
83     0x0053  Fail on INT 24.
84     0x0054  Storage to process this request is not available.
85     0x0055  The local device name is already in use.
86     0x0056  The specified network password is not correct.
87     0x0057  The parameter is incorrect.
88     0x0058  A write fault occurred on the network.
89     0x0059  The system cannot start another process at this time.
100    0x0064  Cannot create another system semaphore.
101    0x0065  The exclusive semaphore is owned by another process.
102    0x0066  The semaphore is set and cannot be closed.
103    0x0067  The semaphore cannot be set again.
104    0x0068  Cannot request exclusive semaphores at interrupt time.
105    0x0069  The previous ownership of this semaphore has ended.
107    0x006B  The program stopped because an alternate diskette was not inserted.
108    0x006C  The disk is in use or locked by another process.
109    0x006D  The pipe has been ended.
110    0x006E  The system cannot open the device or file specified.
111    0x006F  The file name is too long.
112    0x0070  There is not enough space on the disk.
113    0x0071  No more internal file identifiers available.
114    0x0072  The target internal file identifier is incorrect.
117    0x0075  The IOCTL call made by the application program is not correct.
118    0x0076  The verify-on-write switch parameter value is not correct.
119    0x0077  The system does not support the command requested.
120    0x0078  This function is not supported on this system.
121    0x0079  The semaphore timeout period has expired.
122    0x007A  The data area passed to a system call is too small.
123    0x007B  The filename, directory name, or volume label syntax is incorrect.
124    0x007C  The system call level is not correct.
125    0x007D  The disk has no volume label.
126    0x007E  The specified module could not be found.
127    0x007F  The specified procedure could not be found.
128    0x0080  There are no child processes to wait for.
130    0x0082  Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O.
131    0x0083  An attempt was made to move the file pointer before the beginning of the file.
132    0x0084  The file pointer cannot be set on the specified device or file.
133    0x0085  A JOIN or SUBST command cannot be used for a drive that contains previously joined drives.
134    0x0086  An attempt was made to use a JOIN or SUBST command on a drive that has already been joined.
135    0x0087  An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted.
136    0x0088  The system tried to delete the JOIN of a drive that is not joined.
137    0x0089  The system tried to delete the substitution of a drive that is not substituted.
138    0x008A  The system tried to join a drive to a directory on a joined drive.
139    0x008B  The system tried to substitute a drive to a directory on a substituted drive.
140    0x008C  The system tried to join a drive to a directory on a substituted drive.
141    0x008D  The system tried to SUBST a drive to a directory on a joined drive.
142    0x008E  The system cannot perform a JOIN or SUBST at this time.
143    0x008F  The system cannot join or substitute a drive to or for a directory on the same drive.
144    0x0090  The directory is not a subdirectory of the root directory.
